Judul Berita,Sumber Berita,Jumlah Kata Yang Ditemukan
"Hyoyeon Santai di Bali, Dikira Punya Vila Pribadi-Berpayung Kardus",https://hot.detik.com/celeb/d-8123490/hyoyeon-santai-di-bali-dikira-punya-vila-pribadi-berpayung-kardus,0
"Massa Buruh Demo DPR, 5.367 Personel Gabungan Disiagakan",https://news.detik.com/berita/d-8123904/massa-buruh-demo-dpr-5-367-personel-gabungan-disiagakan,0
"Inggris Cs Resmi Akui Negara Palestina, Israel-AS Bilang Gini",https://news.detik.com/bbc-world/d-8123708/inggris-cs-resmi-akui-negara-palestina-israel-as-bilang-gini,1
"Bangunan Mirip Toilet Telan Anggaran Rp 112 Juta di Boyolali, Apa Isinya?",https://news.detik.com/berita/d-8123890/bangunan-mirip-toilet-telan-anggaran-rp-112-juta-di-boyolali-apa-isinya,0
"Anomali Possession ala Pep Guardiola, Man City Cuma 'Nonton' Arsenal",https://sport.detik.com/sepakbola/liga-inggris/d-8123677/anomali-possession-ala-pep-guardiola-man-city-cuma-nonton-arsenal,0
Lihat Selengkapnya,https://www.detik.com/terpopuler,0
